reading,pitch,roll,yaw (compass),cardinal direction,accel x,accel y,accel z,gyro x,gyro y,gyro z,mag x, mag y, mag z
324,81.72082,-6.101994,251.6178,W,1.165976,7.31668,4.738125,2.804785,0.1841257,-0.507478,-34.93982,-11.61088,102.9218
325,78.65869,-8.058239,251.5159,W,1.39582,7.972692,2.214637,3.106687,-0.03623891,-0.8516144,-36.30431,-12.13606,103.3336
326,74.92592,-10.05628,254.1678,W,1.570596,7.479486,-1.697489,3.477603,0.3482666,-0.933152,-37.53034,-10.64278,96.69744
327,73.00275,2.956282,256.2156,W,-0.2082956,7.477092,-3.576937,3.461349,0.6777476,-1.021218,-38.51117,-9.448158,91.38852
328,69.46,8.428667,260.239,W,-1.098939,6.852205,-5.935226,3.360093,0.4716388,-0.2411486,-37.58165,-6.465141,77.68816
329,62.97597,0.9053889,263.6819,W,0.1005565,5.583278,-7.592013,2.922961,-0.1135131,-0.1962497,-36.83803,-4.078728,66.72788
330,45.44417,3.352445,268.1555,W,-0.3064578,3.804387,-8.772355,2.789197,-0.2550047,-0.3950308,-34.12561,-1.098991,52.68575
331,7.243866,6.788055,273.2798,W,-0.8379706,1.826776,-8.896853,2.894583,-0.2949741,-0.4210109,-29.9726,1.717597,39.56141
332,-17.59177,10.27904,280.3984,W,-1.723825,-0.902614,-11.1474,2.929756,-0.4681747,-0.410086,-23.62516,4.335329,31.05208
333,-38.76607,6.935376,289.1192,W,-1.144428,-2.37026,-11.82975,2.075344,-0.3240185,-0.42221,-18.54721,6.429515,24.24462
334,-71.2537,7.806518,302.2837,NW,-1.400608,-4.362236,-11.9351,1.112615,0.0395697,-0.3483999,-12.46816,7.877075,21.58486
335,-79.40159,8.545443,321.4589,NW,-1.505953,-5.00867,-11.14022,0.5180033,-0.00612864,-0.1460215,-6.798246,8.533988,19.65607
336,-80.46452,10.64629,345.979,N,-2.063802,-5.267244,-11.71244,-0.3112283,-0.08020524,0.07700768,-2.262315,9.059519,18.11304
337,-78.21,10.23479,8.695343,N,-1.934515,-4.970363,-11.59512,-0.9911076,-0.1754656,0.2311563,1.467265,9.593838,17.57516
338,-74.32208,11.46742,23.94827,NE,-2.15957,-4.539406,-11.44189,-1.564002,-0.2483431,0.4389971,4.45093,10.02129,17.14486
339,-56.45017,10.5901,29.19377,NE,-1.802834,-3.181894,-10.83137,-1.931587,-0.07114551,0.4848287,5.930351,10.61383,14.71097
340,-34.81819,11.91782,32.68396,NE,-1.908179,-1.999158,-10.20169,-2.213505,0.1774641,0.3345438,7.113889,11.08785,12.76385
341,-15.79091,13.80299,27.03558,NE,-2.11408,-0.6272808,-9.68694,-2.226828,0.1953171,0.4392636,6.212088,12.17321,9.514528
342,-10.51453,12.21591,22.83174,NE,-1.774103,0.6679823,-9.366117,-2.125306,0.2013125,0.5342575,5.490648,13.04151,6.91507
343,38.94019,10.54641,11.98393,N,-1.414973,3.270479,-8.281544,-1.952105,0.1696034,0.320288,2.964031,13.96393,4.238457
344,52.10887,9.310843,355.8694,N,-1.25935,4.22816,-8.171411,-1.588916,0.1032542,0.2779205,-1.04034,14.40574,2.79372
345,60.36311,7.695149,343.958,N,-1.007959,5.149928,-7.757214,-1.170437,0.2184993,0.2566035,-4.243836,14.75919,1.637929
346,64.22729,5.973522,332.4749,NW,-0.7445967,5.851429,-7.551312,-0.8661366,0.3581257,0.336942,-7.814977,14.99639,1.111329
347,65.5524,1.422457,324.9028,NW,0.01675941,6.363788,-7.953538,-0.6933356,0.3976954,0.2510078,-10.67189,15.18615,0.6900482
348,68.32463,0.6324502,316.5416,NW,0.1556231,7.024588,-7.232883,-0.614596,0.9242254,0.06221901,-13.86493,14.63182,1.248591
349,67.90085,1.302694,310.831,NW,0.03591302,6.691794,-6.902483,-0.2218301,1.09223,0.1518837,-16.41936,14.18835,1.695426
350,68.68198,1.857254,305.3709,NW,-0.05027823,6.327875,-5.614403,0.6882729,0.5154719,0.2105054,-18.39568,13.0591,1.455847
351,68.15786,-0.6406531,301.3202,NW,0.3303998,6.356606,-6.042965,1.246778,-0.5445163,0.1593446,-19.97674,12.15569,1.264184
352,66.52687,-2.829584,299.6139,NW,0.7206547,6.296751,-7.089231,0.9647278,-1.041469,0.1243048,-20.43491,11.6152,0.513809
353,62.64283,-3.116278,298.2623,NW,0.7924808,5.65271,-7.979874,0.4657766,-0.5148057,-0.4860278,-20.80145,11.1828,-0.08649069
354,52.35359,3.810413,299.7097,NW,-0.3830723,4.343082,-8.520964,0.6133969,-0.09166313,-0.3088301,-20.38884,11.63415,-1.4623
355,50.06093,8.742658,301.7678,NW,-1.254562,4.225766,-8.947132,0.4501886,-0.4520538,-0.1604105,-19.55458,12.10912,-3.458515
356,47.56792,6.727432,303.4746,NW,-0.9911995,4.240131,-10.00776,0.2796525,-0.1898546,-0.2586019,-18.88717,12.48909,-5.055487
357,41.55626,4.899433,305.8618,NW,-0.6368576,3.787627,-10.08677,0.1789296,0.4829635,-0.03917,-17.94991,12.97531,-5.337988
358,30.05687,7.287285,308.6451,NW,-1.055843,3.071761,-9.986216,0.1184426,0.6137966,-0.1542818,-16.6287,13.29594,-5.663498
359,34.56652,6.862268,311.0338,NW,-1.039083,3.41892,-10.56561,0.09526038,0.2773876,0.03943646,-15.57173,13.55244,-5.923906
360,36.76508,4.43692,312.1561,NW,-0.5674258,3.550601,-10.54167,-0.08953143,0.3622559,0.1225728,-14.79338,13.39319,-6.132233
361,40.72229,1.878641,313.1109,NW,-0.06703765,3.70383,-9.945514,-0.2617995,0.6468379,0.2240951,-14.1707,13.26578,-6.298893
362,43.77875,-2.92877,312.3297,NW,0.7900866,3.816358,-9.41879,-0.3226862,1.07491,0.2848485,-14.17673,12.91329,-7.128775
363,48.58889,-4.813929,309.5477,NW,1.132457,4.177882,-9.313444,-0.3125607,0.9515379,0.2520736,-14.24878,11.7657,-7.394649
364,50.96185,-10.14252,307.1707,NW,2.149993,4.424485,-9.433155,-0.1184426,0.498285,0.3498654,-14.30642,10.84763,-7.607347
365,48.91847,-13.38281,302.8223,NW,2.624045,4.122815,-8.959103,0.06115317,-0.301236,0.07101228,-14.65503,9.452585,-7.877015
366,46.28097,-12.89202,300.9288,NW,2.530671,3.921702,-9.035717,0.05569068,-0.2576693,-0.1029878,-14.5978,8.746569,-9.485856
367,45.94727,-9.555313,299.3465,NW,1.936909,3.909731,-9.093178,0.10885,-0.2240951,-0.1461547,-14.55202,8.181755,-10.77293
368,43.44567,-8.090797,298.0217,NW,1.675941,3.739743,-9.167398,0.1561471,-0.2002466,-0.1251042,-14.48179,7.707126,-10.708
369,41.54346,-6.11307,297.8158,NW,1.35033,3.653552,-9.394848,0.03983616,-0.1557474,-0.08460187,-14.49282,7.646327,-10.65606
370,42.50041,-5.19897,297.6509,NW,1.223437,3.775656,-9.679757,-0.001598776,-0.1429572,-0.02424809,-14.50165,7.597688,-10.61451
371,41.13277,-4.814081,298.5011,NW,1.154005,3.689465,-9.725247,-0.01851915,0.01891884,-0.07274428,-14.1726,7.695449,-10.58127
372,40.21158,-5.654327,299.1999,NW,1.283292,3.593697,-9.545682,-0.08033847,0.05009497,0.006794796,-13.90936,7.773659,-10.55468
373,40.94512,-6.659738,299.8155,NW,1.467646,3.641581,-9.543288,-0.1159112,0.04516541,0.01292344,-13.83321,7.927341,-11.32946
374,43.61139,-7.263826,300.3075,NW,1.568202,3.801992,-9.414001,-0.08913174,0.1390935,-0.02837827,-13.77229,8.050287,-11.94929
375,45.37513,-6.134811,300.205,NW,1.328782,3.86903,-9.102755,-0.0975253,0.05968762,-0.008660034,-13.95884,8.125865,-11.7486
